County,Municipality,Municipality Type,Farm Count,Improved Land Acres,Unimproved Land Acres,Farm Cash Value,Implements and Machinery Value,Horses Count,Asses and Mules Count,Milch Cows Count,Working Oxen Count,Other Cattle Count,Sheep Count,Swine Count,Live Stock Value,Wheat Bushels,Rye Bushels,Indian Corn Bushels,Oats Bushels,Tobacco Pounds,Wool Pounds,Peas Beans Bushels,Irish Potatoes Bushels,Sweet Potatoes Bushels,Barley Bushels,Buckwheat Bushels,Orchard Products Value,Wine Gallons,Garden Produce Value,Butter Pounds,Cheese Pounds,Hay Tons,Clover Seed Bushels,Other Seeds Bushels,Hops Pounds,Hemp Tons,Flax Pounds,Flaxseed Pounds,Silk Cocoons Pounds,Maple Sugar Pounds,Molasses Gallons,Beeswax Honey Pounds,Homemade Manufactures Value,Animals Slaughtered Value
Juniata,Milford,Township,82,8552,5273,322700,7135,323,0,371,4,729,898,1306,27855,21102,2730,16395,11655,0,1086,2,2106,0,305,458,568,0,40,30900,0,1088,297,1,0,0,60,8,0,0,,20,0,6810
Juniata,Turbett,Township,82,7672,4040,341800,9155,340,0,349,2,731,807,1090,12485,4795,3045,9138,11525,0,1712,0,2085,0,130,545,630,0,0,23875,0,1401,245,0,0,0,0,0,0,0,,0,0,9515
Juniata,Tuscarora,Township,82,7659,6930,210850,6255,316,0,361,2,760,1190,1100,28875,21320,3090,11605,7620,0,2605,0,2582,0,300,1295,645,0,0,28800,0,1104,240,0,0,0,0,0,0,0,,0,0,4365
Juniata,Walker,Township,123,10759,4748,429200,16460,408,0,441,6,722,769,1455,41655,29807,3946,21560,15830,0,1431,40,3670,0,95,711,1175,0,0,34850,0,1788,220,0,0,0,0,0,0,0,,0,0,11375
Lancaster,Bainbridge,Township,103,224,7,11906,470,31,3,34,1,11,0,268,4027,1330,120,1300,325,12000,0,0,2042,196,0,0,40,0,55,1000,0,85,13,3,0,0,0,0,0,0,0,110,0,3500
Lancaster,Bart,Township,175,11734,4384,134373,39988,481,12,614,197,878,707,1544,73672,22893,1614,44229,45438,0,1461,0,6196,355,0,659,679,0,0,48435,566,2296,1059,219,39,0,0,0,0,0,0,320,50,14120
Lancaster,Brecknock,Township,128,6297,2356,299866,11324,333,0,501,0,485,232,587,27997,7569,3794,12222,17708,0,345,1,4933,24,83,86,3,0,14,27016,72,4287,195,64,0,0,728,78,0,0,0,0,201,7890
Lancaster,Caernarvon,Township,102,7611,3190,606100,13924,331,16,437,32,581,182,925,49211,21519,3802,35330,30407,0,445,1,5669,62,908,262,180,48,0,36300,0,2110,361,83,0,0,156,8,0,0,0,68,43,9375
Lancaster,Colerain,Township,177,12601,5841,700162,23732,428,6,527,200,1043,758,1153,77903,19983,604,45356,37745,200,1340,1,8275,150,0,1237,333,0,0,39053,238,2721,515,115,0,0,0,0,0,0,0,200,0,18867
Lancaster,Columbia,Borough,2,190,20,31600,225,10,0,8,0,15,0,25,1625,800,38,2200,2250,0,0,0,125,0,0,0,18,0,0,520,0,894,0,0,0,0,0,0,0,0,0,0,0,250
Luzerne,Lake,Township,40,1296,3871,40700,1867,37,0,98,75,84,228,251,8171,1500,2213,1622,1320,0,623,50,1520,0,0,2406,0,0,0,6453,0,278,23,4,0,0,0,0,0,0,0,866,528,1525
Lancaster,Conestoga,Township,148,12342,3086,1243970,26180,528,0,819,6,1330,569,1847,59170,49820,4175,67608,41234,350,1108,41,5650,339,40,96,715,0,1038,64080,675,3605,153,76,77,0,344,20,0,0,0,780,346,15485
Lancaster,Conoy,Township,135,7316,1763,495960,13546,316,0,451,0,601,197,1429,31999,23802,4507,3219,23300,44300,443,58,4520,346,0,74,657,16,10,32257,175,1796,181,29,0,0,75,3,0,0,0,115,0,9134
Lancaster,Drumore,Township,208,14313,6265,664585,22990,480,61,525,254,1130,648,1749,82656,29776,0,50626,41899,0,1406,26,6253,77,65,554,939,0,0,26010,1174,2371,466,36,0,0,0,0,0,0,0,0,386,14566
Lancaster,Earl,Township,379,22678,4763,2502435,57005,1312,24,1481,17,1797,1311,3457,153800,90009,5583,126597,103043,0,1484,7,15500,318,831,76,3035,87,2,168396,186,6865,877,290,0,0,1105,52,0,0,0,642,340,31858
Lancaster,East Cocalico,Township,164,8781,3105,501060,14086,1034,0,647,0,485,603,765,40415,18712,4558,21789,28847,0,635,0,4364,8,49,109,137,3,0,34520,0,2309,148,0,0,0,406,68,3,0,0,50,239,9554
Philadelphia,Kensington,District,1,100,0,20000,300,4,0,20,0,0,0,5,900,600,0,1000,200,0,0,0,650,0,0,0,0,0,0,500,0,50,10,0,0,0,0,0,0,0,0,0,0,0
Lancaster,East Donegal,Township,129,11691,1428,1264786,27620,548,4,730,0,697,345,2657,69288,59514,6391,50660,46527,83760,60,0,5389,243,120,57,192,0,0,41400,15,2324,213,37,0,0,120,2,0,0,0,30,10,8777
Luzerne,Blakely,Township,10,627,1097,42000,1325,23,0,54,8,39,168,43,4030,530,345,1100,2160,0,330,0,1455,0,0,340,15,0,250,2200,0,172,0,0,50,0,0,0,0,20,0,0,0,602
Lancaster,East Hempfield,Township,150,11540,1177,326000,31966,551,0,749,0,516,504,2012,70166,52226,6065,43112,59140,0,0,0,4664,8,0,0,1423,10,88,64221,0,2936,30,0,0,0,25,0,0,0,0,0,0,10400
Lancaster,East Lampeter,Township,172,11230,1186,1432007,35432,542,6,830,24,804,185,1646,76250,52680,2678,58129,57070,0,1525,4,8336,555,125,38,1331,0,2641,91498,770,2581,171,81,0,0,75,0,0,0,0,940,99,16618
Lancaster,Elizabeth,Township,199,14471,15817,1163497,26822,720,2,916,2,929,451,1344,58009,40992,5726,40285,43512,0,762,0,4617,11,0,10,78,31,0,65711,80,3026,208,78,5,0,0,0,0,0,0,0,0,12030
Lancaster,Ephrata,Township,180,9733,2099,900145,23250,496,0,682,0,374,137,1061,48991,28631,2391,37286,33715,3300,512,5,5267,13,34,125,700,160,0,46429,0,2370,163,79,8,0,183,16,0,0,0,150,127,11127
Lancaster,Fulton,Township,117,10009,5258,508468,12032,319,6,385,230,951,543,1066,61152,24035,108,41235,27552,0,1052,0,4270,151,0,252,5,0,5,18121,3206,2496,733,70,18,0,40,3,0,0,0,0,3,9835
Lancaster,Lancaster,Township,51,4038,375,952600,4460,168,0,249,0,282,226,578,19814,18801,1159,27669,4466,0,36,30,2267,65,0,0,346,0,1140,17361,0,1216,50,2,0,0,0,0,0,0,0,0,500,7750
Lancaster,Leacock,Township,201,17545,6018,1259800,133632,586,2,763,12,636,167,1670,66274,60891,2236,64767,59672,690,1593,17,7294,231,860,102,836,91,6,77562,252,3312,253,173,55,0,525,12,0,0,0,224,3200,17803
Lancaster,Little Britain,Township,159,15892,3081,646375,20628,413,24,470,250,1032,1007,1474,570054,20963,411,41885,27046,0,1356,50,4200,211,30,766,1282,14,0,26747,5220,2630,544,128,132,0,164,15,0,0,0,377,274,9754
Lancaster,Manheim,Borough,10,203,38,20970,1005,14,0,22,0,4,0,48,1775,739,182,845,686,0,16,0,243,3,0,0,11,0,1975,0,0,52,0,0,0,0,0,0,0,0,0,0,0,805
Lancaster,Manheim,Township,176,13887,1591,1465916,31555,612,0,766,16,831,1182,2376,83411,49912,5120,59895,61384,0,611,15,6008,1392,182,0,82,34,725,63140,0,3608,205,103,0,0,0,0,0,0,0,0,0,1672
Lancaster,Manor,Township,230,18165,3216,1954340,39884,824,0,1196,0,732,395,2622,89884,75728,6367,89998,69957,180370,1257,1,9399,374,0,152,223,0,144,77285,0,3779,270,198,16,0,0,375,1,0,0,273,257,11220
Lancaster,Marietta,Borough,112,119,0,0,0,68,7,44,0,6,0,296,5808,328,0,0,0,13500,0,0,550,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,3550
Lancaster,Martic,Township,464,11630,14329,927976,20648,640,18,1052,80,806,892,1851,71730,27458,2307,42310,33378,0,2432,3,7715,470,0,619,330,10,2043,46459,793,2103,285,37,4,0,0,827,14,0,0,478,339,5530
Philadelphia,Southwark,District,25,23,0,0,325,59,0,57,0,0,0,17,4563,0,0,0,0,0,0,0,50,0,0,0,0,0,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lancaster,Mount Joy,Township,164,13001,3948,835530,17671,542,0,810,0,912,1114,1892,57670,30087,10591,36346,39329,0,712,4,3901,261,266,69,910,0,997,30619,100,2616,247,109,32,0,137,8,0,0,0,9,263,11118
Lancaster,Paradise,Township,110,8544,809,916308,22627,390,0,486,129,528,569,1512,53040,39524,3622,60010,44619,0,679,0,7663,0,1085,30,1476,0,0,37779,0,2484,190,82,0,0,0,47,2,0,0,35,115,6722
Lancaster,Penn,Township,182,14376,2488,1147872,22870,679,0,943,0,815,293,800,63635,43460,9843,50425,61131,0,812,0,3699,58,0,0,2198,0,0,66221,0,3005,149,157,0,0,0,0,0,0,0,0,158,13201
Lancaster,Rapho,Township,252,20630,5461,1261910,49189,1086,35,1413,0,1602,2476,3256,111783,59106,15652,75090,88438,0,2238,21,7060,498,900,140,1241,70,100,108026,173,4135,633,275,27,0,0,278,26,0,0,657,825,23851
Lancaster,Sadsbury,Township,100,7320,2923,312701,14630,295,0,328,83,620,248,949,41990,13140,727,25345,25065,0,632,29,1293,79,0,502,191,11,12,22985,1482,1584,195,81,45,0,0,115,2,0,0,41,211,6022
Lancaster,Salisbury,Township,246,19596,2760,173245,55380,873,46,1067,130,1551,393,3241,99030,61373,3219,90086,82734,0,77,0,10199,73,392,606,1951,285,25,86045,400,4880,778,192,0,0,0,0,0,0,0,0,0,24852
Lancaster,Strasburg,Township,139,10781,2045,1271151,35660,525,2,631,43,535,957,1695,80756,46996,4652,69163,43783,0,1191,35,9636,421,458,0,384,0,829,63513,0,2870,153,85,0,100,0,292,11,0,0,0,1014,14114
Lancaster,Upper Leacock,Township,109,9942,1058,1468480,34626,535,18,614,12,493,130,1628,66513,45638,2430,52568,50522,50,1448,19,5633,200,308,0,1573,0,1524,76521,350,3415,139,82,21,0,0,510,25,0,0,92,389,14759
Lancaster,Warwick,Township,109,6722,1468,650425,17859,355,0,463,4,343,146,947,35216,21942,3556,27188,28697,0,600,0,3518,93,281,39,466,33,0,40914,0,1691,177,53,0,0,121,7,0,0,0,112,182,11461
Lancaster,West Cocalico,Township,154,10940,4086,704714,23797,542,0,948,0,852,661,1213,51102,32603,6764,34140,20654,0,775,0,4169,18,0,63,1039,74,0,41390,0,2815,227,58,0,0,669,162,0,0,0,204,493,10031
Lancaster,West Donegal,Township,102,9362,2073,476520,11010,301,0,488,0,579,248,1130,37767,20634,2814,20766,24616,0,12,6,2615,69,0,10,434,0,219,20317,0,1450,91,54,12,0,94,4,0,0,0,24,123,6043
Lancaster,West Earl,Township,156,10122,1594,137660,34225,546,11,652,14,419,845,1561,58337,40752,2008,52502,38512,0,0,25,5309,5,0,1098,0,0,46330,46330,0,2579,65,13,0,0,67,0,0,0,0,0,0,15516
Lancaster,West Hempfield,Township,123,9338,1355,974970,22983,420,0,622,0,577,191,1651,54799,44782,8880,60725,47230,34050,1062,0,5619,243,0,0,2924,0,2609,82931,0,2391,128,24,0,0,0,0,0,0,0,155,118,9685
Lancaster,West Lampeter,Township,115,8922,1309,1138211,30835,476,0,667,6,637,347,1426,58493,41284,2752,57265,36417,1400,996,23,6148,321,6,86,175,0,135,71858,0,2651,156,80,0,0,100,4,0,0,0,0,992,3875
Lawrence,Big Beaver,Township,62,4044,2940,129449,5830,203,0,242,30,293,3372,649,20091,7694,882,5735,9750,0,8645,0,2831,0,443,2265,130,0,0,11985,0,727,12,2,0,0,310,113,0,200,0,70,0,2625
Lawrence,Little Beaver,Township,98,6794,4350,276530,8618,325,0,345,52,449,8564,986,35600,11701,938,12770,19703,0,22393,0,5302,0,848,1991,80,0,0,15820,0,1603,25,26,0,0,390,20,0,2365,0,0,0,3699
Lawrence,Mahoning,Township,174,10456,6716,459790,21625,566,0,563,134,587,6864,1785,54186,19473,3768,24120,29443,0,18748,101,6130,15,1339,5522,3197,0,18,147850,1375,2119,178,61,211,0,5184,331,0,3228,0,1515,1035,7207
Lawrence,Neshannock ,Township,195,14311,7758,573038,20268,572,0,749,123,1018,8806,1794,59357,21441,2731,29855,36474,0,22845,17,11063,0,741,5712,120,0,135,41295,75,2911,165,16,6,0,325,149,0,685,0,1552,392,7929
Philadelphia,Richmond,District,14,515,0,464300,4050,41,1,81,0,0,12,65,4825,610,470,2700,520,0,0,15,5385,0,0,190,20,0,5900,0,0,85,0,0,0,0,0,0,0,0,0,0,0,1185
